[ 2026-07-27 00:55:36,526 ] 21 root - INFO - logging Has Started
[ 2026-07-27 00:55:38,165 ] 13 root - INFO - Initiate data ingestion
[ 2026-07-27 00:55:40,984 ] 58 root - INFO - Data has been splitted into train and test
[ 2026-07-27 00:55:40,984 ] 60 root - INFO - Exited split_data_train_test method od dataingestion class
[ 2026-07-27 00:55:40,984 ] 64 root - INFO - Exporting test and train files
[ 2026-07-27 00:55:41,029 ] 68 root - INFO - Exported test and train files
[ 2026-07-27 00:55:41,030 ] 15 root - INFO - Data ingestion completed
[ 2026-07-27 00:55:41,034 ] 19 root - INFO - Initiate The data vaildation
[ 2026-07-27 00:55:41,127 ] 31 root - INFO - Required No of columns: 3
[ 2026-07-27 00:55:41,127 ] 32 root - INFO - Df has columns: 31
[ 2026-07-27 00:55:41,127 ] 31 root - INFO - Required No of columns: 3
[ 2026-07-27 00:55:41,127 ] 32 root - INFO - Df has columns: 31
[ 2026-07-27 00:55:41,324 ] 21 root - INFO - Data validation completed
